DATE,APUS35B72610,APUS35B74716,MIAM112LFN,MIAM112URN,SMU12331000500000001,SMU12331000500000002,SMU12331000500000003,SMU12331000500000011
2000-01-01,0.080,1.578,2479753,4.2,1834.6,,,
2000-02-01,0.080,1.618,2475966,3.9,1846.7,,,
2000-03-01,0.080,1.743,2480914,4.1,1863.3,,,
2000-04-01,0.080,1.749,2484419,3.9,1856.0,,,
2000-05-01,0.080,1.738,2487611,4.1,1861.0,,,
2000-06-01,0.085,1.767,2494103,4.3,1869.4,,,
2000-07-01,0.085,1.780,2519485,4.5,1850.3,,,
2000-08-01,0.085,1.722,2509100,4.5,1863.1,,,
2000-09-01,0.085,1.719,2501347,4.4,1875.6,,,
2000-10-01,0.085,1.709,2516954,4.1,1874.9,,,
2000-11-01,0.085,1.732,2527077,4.0,1906.9,,,
2000-12-01,0.085,1.714,2535945,3.7,1932.1,,,
2001-01-01,0.092,1.691,2543091,4.2,1891.3,,,
2001-02-01,0.092,1.717,2537647,3.9,1907.5,,,
2001-03-01,0.092,1.691,2545251,4.2,1922.4,,,
2001-04-01,0.100,1.740,2533247,4.2,1904.2,,,
2001-05-01,0.099,1.837,2536955,4.1,1904.5,,,
2001-06-01,0.099,1.833,2537744,4.6,1905.9,,,
2001-07-01,0.099,1.703,2559585,4.6,1878.4,,,
2001-08-01,0.099,1.608,2533321,5.1,1884.9,,,
2001-09-01,0.099,1.650,2541728,5.0,1888.9,,,
2001-10-01,0.093,1.584,2530831,5.2,1883.5,,,
2001-11-01,0.093,1.449,2525145,5.2,1900.4,,,
2001-12-01,0.093,1.375,2531548,4.9,1919.2,,,
2002-01-01,0.093,1.364,2518587,5.1,1880.6,,,
2002-02-01,0.093,1.356,2515292,4.9,1888.9,,,
2002-03-01,0.093,1.457,2505849,5.0,1904.9,,,
2002-04-01,0.087,1.675,2509422,4.9,1890.4,,,
2002-05-01,0.087,1.711,2521952,4.8,1893.5,,,
2002-06-01,0.087,1.682,2521943,5.2,1892.9,,,
2002-07-01,0.087,1.659,2539038,5.2,1867.9,,,
